Sector	Dates	Spacecraft	Camera1	Camera2	Camera3	Camera4
1	07/25/18-08/22/18	352.68,-64.85,222.15	324.57,-33.17,289.92	338.58,-55.08,299.88	19.49,-71.98,157.19	90.00,-66.56,224.19
2	08/22/18-09/20/18	16.56,-54.02,220.43	352.08,-23.06,294.47	5.70,-44.31,302.18	33.36,-62.19,144.76	90.00,-66.57,196.63
3	09/20/18-10/18/18	36.31,-44.26,213.04	17.17,-12.22,293.55	28.46,-33.91,298.06	47.39,-53.85,131.45	90.00,-66.57,169.06
4	10/18/18-11/15/18	55.01,-36.64,202.83	41.81,-2.76,288.16	49.88,-25.47,290.17	61.87,-47.52,117.45	90.00,-66.56,141.52
5	11/15/18-12/11/18	73.54,-31.93,191.05	67.06,3.53,279.38	71.11,-20.13,279.98	76.70,-43.68,103.00	90.00,-66.56,114.14
6	12/11/18-01/07/19	92.01,-30.58,178.64	92.81,5.41,268.82	92.31,-18.59,268.76	91.62,-42.58,88.41	89.99,-66.56,87.05
7	01/07/19-02/02/19	110.26,-32.63,166.45	118.18,2.57,258.61	113.25,-20.93,257.80	106.36,-44.24,74.01	90.00,-66.56,60.26
8	02/02/19-02/28/19	128.12,-37.74,155.31	142.37,-4.18,250.66	133.69,-26.70,248.30	120.60,-48.42,60.15	90.00,-66.56,33.85
9	02/28/19-03/26/19	145.91,-45.30,145.92	165.70,-13.46,246.09	154.09,-35.04,241.22	134.27,-54.73,46.95	90.00,-66.56,7.72
10	03/26/19-04/22/19	165.05,-54.82,139.17	189.90,-23.89,245.67	176.16,-45.14,237.72	147.70,-62.89,34.26	90.00,-66.56,341.28
11	04/22/19-05/21/19	189.12,-65.54,138.08	217.30,-33.73,250.57	203.40,-55.72,240.58	161.39,-72.63,22.06	90.00,-66.56,314.08
12	05/21/19-06/19/19	229.59,-75.13,153.98	249.34,-40.26,261.51	241.52,-63.82,255.21	177.30,-83.38,12.37	90.01,-66.56,286.45
13	06/19/19-07/18/19	298.67,-76.33,198.94	284.05,-40.90,275.82	289.59,-64.68,280.33	357.94,-85.50,167.75	90.01,-66.56,258.88
