header
27	07/04/20-07/30/20	326.85,-72.43,214.51	301.60,-38.68,282.66	312.45,-61.74,291.17	8.60,-79.81,165.21	90.01,-66.56,244.53	
28	07/30/20-08/26/20	357.29,-63.01,222.52	329.49,-31.62,291.12	343.69,-53.32,300.91	21.86,-70.24,155.17	90.00,-66.56,219.52	
29	08/26/20-09/22/20	18.92,-52.83,219.80	355.01,-21.83,294.62	8.42,-43.07,301.96	34.93,-61.16,143.29	90.00,-66.57,193.50	
30	09/22/20-10/21/20	38.36,-43.32,212.04	19.83,-11.10,293.17	30.81,-32.88,297.36	48.93,-53.06,129.97	90.00,-66.57,166.08	
31	10/21/20-11/19/20	57.64,-35.78,201.23	45.34,-1.64,287.09	52.89,-24.50,288.84	63.95,-46.82,115.42	90.00,-66.56,137.62	
32	11/19/20-12/17/20	77.19,-31.40,188.63	72.12,4.28,277.38	75.29,-19.52,277.81	79.64,-43.24,100.12	90.00,-66.56,108.78	
33	12/17/20-01/13/21	96.60,-30.78,175.54	99.23,5.13,266.15	97.58,-18.82,265.95	95.34,-42.74,84.78	90.00,-66.56,80.32	
34	01/13/21-02/09/21	115.30,-33.78,163.19	125.08,1.02,256.09	119.02,-22.24,254.95	110.40,-45.18,70.06	90.00,-66.56,52.82	
35	02/09/21-03/07/21	133.20,-39.69,152.40	149.12,-6.65,248.97	139.52,-28.87,245.98	124.58,-50.03,56.29	90.00,-66.56,26.32	
36	03/07/21-04/02/21	150.95,-47.75,143.73	172.19,-16.27,245.52	159.89,-37.69,239.83	137.97,-56.80,43.41	90.00,-66.56,0.50	
37	04/02/21-04/28/21	170.25,-57.37,138.17	196.22,-26.44,246.32	182.16,-47.75,237.67	151.00,-65.14,31.21	90.00,-66.56,334.70	
38	04/28/21-05/26/21	195.72,-67.83,139.35	223.78,-35.52,252.42	210.45,-57.81,242.52	164.45,-74.88,19.59	90.00,-66.56,308.17	
39	05/26/21-06/24/21	242.20,-76.40,161.60	256.42,-40.93,264.36	251.04,-64.73,259.98	182.47,-85.64,12.32	90.01,-66.56,280.76
